,colorIdentity,U,R,G,W,B ,None
9761,W,0,0,0,1,0,0
9762,GU,1,0,1,0,0,0
9763,U,1,0,0,0,0,0
9765,W,0,0,0,1,0,0
9767,,0,0,0,0,0,1
9768,G,0,0,1,0,0,0
9769,GW,0,0,1,1,0,0
9772,W,0,0,0,1,0,0
9773,U,1,0,0,0,0,0
9774,B,0,0,0,0,1,0
9775,B,0,0,0,0,1,0
9778,W,0,0,0,1,0,0
9779,R,0,1,0,0,0,0
9781,,0,0,0,0,0,1
9782,W,0,0,0,1,0,0
9790,,0,0,0,0,0,1
9791,B,0,0,0,0,1,0
9792,U,1,0,0,0,0,0
9794,B,0,0,0,0,1,0
9795,BR,0,1,0,0,1,0
9796,G,0,0,1,0,0,0
9797,B,0,0,0,0,1,0
9798,B,0,0,0,0,1,0
9799,R,0,1,0,0,0,0
9801,B,0,0,0,0,1,0
9802,W,0,0,0,1,0,0
9803,U,1,0,0,0,0,0
9804,W,0,0,0,1,0,0
9805,GU,1,0,1,0,0,0
9806,GU,1,0,1,0,0,0
9807,BGR,0,1,1,0,1,0
9811,U,1,0,0,0,0,0
9812,G,0,0,1,0,0,0
9813,B,0,0,0,0,1,0
9815,BGW,0,0,1,1,1,0
9818,R,0,1,0,0,0,0
9821,G,0,0,1,0,0,0
9824,R,0,1,0,0,0,0
9828,,0,0,0,0,0,1
9829,,0,0,0,0,0,1
9831,R,0,1,0,0,0,0
9832,RU,1,1,0,0,0,0
9834,BU,1,0,0,0,1,0
9836,,0,0,0,0,0,1
9842,R,0,1,0,0,0,0
9843,R,0,1,0,0,0,0
9845,G,0,0,1,0,0,0
9846,B,0,0,0,0,1,0
9847,U,1,0,0,0,0,0
9848,B,0,0,0,0,1,0
9850,B,0,0,0,0,1,0
9851,R,0,1,0,0,0,0
9852,,0,0,0,0,0,1
9854,R,0,1,0,0,0,0
9855,,0,0,0,0,0,1
9860,BR,0,1,0,0,1,0
9861,B,0,0,0,0,1,0
9864,R,0,1,0,0,0,0
9869,B,0,0,0,0,1,0
9870,BU,1,0,0,0,1,0
9872,W,0,0,0,1,0,0
9875,BR,0,1,0,0,1,0
9876,G,0,0,1,0,0,0
9877,G,0,0,1,0,0,0
9878,W,0,0,0,1,0,0
9879,R,0,1,0,0,0,0
9880,B,0,0,0,0,1,0
9881,BRW,0,1,0,1,1,0
9882,BGR,0,1,1,0,1,0
9883,W,0,0,0,1,0,0
9884,R,0,1,0,0,0,0
9885,R,0,1,0,0,0,0
9887,B,0,0,0,0,1,0
9888,W,0,0,0,1,0,0
9890,B,0,0,0,0,1,0
9891,GR,0,1,1,0,0,0
9892,B,0,0,0,0,1,0
9893,W,0,0,0,1,0,0
9894,W,0,0,0,1,0,0
9898,W,0,0,0,1,0,0
9902,U,1,0,0,0,0,0
9903,R,0,1,0,0,0,0
9905,W,0,0,0,1,0,0
9906,R,0,1,0,0,0,0
9907,G,0,0,1,0,0,0
9908,G,0,0,1,0,0,0
9909,R,0,1,0,0,0,0
9910,,0,0,0,0,0,1
9911,,0,0,0,0,0,1
9912,B,0,0,0,0,1,0
9913,B,0,0,0,0,1,0
9914,B,0,0,0,0,1,0
9915,R,0,1,0,0,0,0
9916,,0,0,0,0,0,1
9918,W,0,0,0,1,0,0
9920,W,0,0,0,1,0,0
9921,W,0,0,0,1,0,0
9922,RU,1,1,0,0,0,0
9925,U,1,0,0,0,0,0
9926,B,0,0,0,0,1,0
9927,G,0,0,1,0,0,0
9930,,0,0,0,0,0,1
9931,R,0,1,0,0,0,0
9932,R,0,1,0,0,0,0
9934,B,0,0,0,0,1,0
9935,W,0,0,0,1,0,0
9936,U,1,0,0,0,0,0
9937,G,0,0,1,0,0,0
9938,W,0,0,0,1,0,0
9940,UW,1,0,0,1,0,0
9941,UW,1,0,0,1,0,0
9943,G,0,0,1,0,0,0
9947,U,1,0,0,0,0,0
9948,B,0,0,0,0,1,0
9949,U,1,0,0,0,0,0
9950,R,0,1,0,0,0,0
9951,BR,0,1,0,0,1,0
9952,G,0,0,1,0,0,0
9954,W,0,0,0,1,0,0
9955,,0,0,0,0,0,1
9956,W,0,0,0,1,0,0
9957,R,0,1,0,0,0,0
9961,B,0,0,0,0,1,0
9962,BRU,1,1,0,0,1,0
9963,RW,0,1,0,1,0,0
9966,U,1,0,0,0,0,0
9967,,0,0,0,0,0,1
9968,R,0,1,0,0,0,0
9969,W,0,0,0,1,0,0
9970,B,0,0,0,0,1,0
9971,U,1,0,0,0,0,0
9973,,0,0,0,0,0,1
9974,G,0,0,1,0,0,0
9975,U,1,0,0,0,0,0
9976,R,0,1,0,0,0,0
9978,UW,1,0,0,1,0,0
9979,W,0,0,0,1,0,0
9980,R,0,1,0,0,0,0
9981,,0,0,0,0,0,1
9982,U,1,0,0,0,0,0
9983,,0,0,0,0,0,1
9984,W,0,0,0,1,0,0
9989,U,1,0,0,0,0,0
9990,B,0,0,0,0,1,0
9993,,0,0,0,0,0,1
9994,,0,0,0,0,0,1
9995,B,0,0,0,0,1,0
9998,GRW,0,1,1,1,0,0
10000,,0,0,0,0,0,1
10002,RW,0,1,0,1,0,0
10004,R,0,1,0,0,0,0
10005,BG,0,0,1,0,1,0
10008,,0,0,0,0,0,1
10011,B,0,0,0,0,1,0
10013,G,0,0,1,0,0,0
10014,GW,0,0,1,1,0,0
10015,U,1,0,0,0,0,0
10016,W,0,0,0,1,0,0
10018,B,0,0,0,0,1,0
10020,G,0,0,1,0,0,0
10021,G,0,0,1,0,0,0
10023,B,0,0,0,0,1,0
10027,R,0,1,0,0,0,0
10031,U,1,0,0,0,0,0
10032,G,0,0,1,0,0,0
10033,R,0,1,0,0,0,0
10034,W,0,0,0,1,0,0
10035,U,1,0,0,0,0,0
10036,G,0,0,1,0,0,0
10037,,0,0,0,0,0,1
10041,W,0,0,0,1,0,0
10043,,0,0,0,0,0,1
10045,U,1,0,0,0,0,0
10046,G,0,0,1,0,0,0
10048,R,0,1,0,0,0,0
10050,U,1,0,0,0,0,0
10055,BG,0,0,1,0,1,0
10057,,0,0,0,0,0,1
10058,G,0,0,1,0,0,0
10061,BU,1,0,0,0,1,0
10062,U,1,0,0,0,0,0
10065,U,1,0,0,0,0,0
10066,G,0,0,1,0,0,0
10071,B,0,0,0,0,1,0
10074,G,0,0,1,0,0,0
10075,B,0,0,0,0,1,0
10077,B,0,0,0,0,1,0
10078,G,0,0,1,0,0,0
10079,U,1,0,0,0,0,0
10080,W,0,0,0,1,0,0
10081,GW,0,0,1,1,0,0
10082,B,0,0,0,0,1,0
10083,,0,0,0,0,0,1
10084,W,0,0,0,1,0,0
10087,G,0,0,1,0,0,0
10088,G,0,0,1,0,0,0
10089,GR,0,1,1,0,0,0
10091,U,1,0,0,0,0,0
10094,G,0,0,1,0,0,0
10101,G,0,0,1,0,0,0
10102,B,0,0,0,0,1,0
10103,R,0,1,0,0,0,0
10104,W,0,0,0,1,0,0
10105,BG,0,0,1,0,1,0
10106,G,0,0,1,0,0,0
10107,G,0,0,1,0,0,0
10108,R,0,1,0,0,0,0
10109,R,0,1,0,0,0,0
10110,W,0,0,0,1,0,0
10112,B,0,0,0,0,1,0
10113,R,0,1,0,0,0,0
10114,U,1,0,0,0,0,0
10116,BUW,1,0,0,1,1,0
10122,U,1,0,0,0,0,0
10124,R,0,1,0,0,0,0
10127,R,0,1,0,0,0,0
10129,,0,0,0,0,0,1
10131,U,1,0,0,0,0,0
10132,GU,1,0,1,0,0,0
10133,G,0,0,1,0,0,0
10135,RU,1,1,0,0,0,0
10137,B,0,0,0,0,1,0
10138,W,0,0,0,1,0,0
10139,U,1,0,0,0,0,0
10140,U,1,0,0,0,0,0
10143,G,0,0,1,0,0,0
10144,G,0,0,1,0,0,0
10145,R,0,1,0,0,0,0
10147,BR,0,1,0,0,1,0
10148,U,1,0,0,0,0,0
10150,G,0,0,1,0,0,0
10153,B,0,0,0,0,1,0
10154,W,0,0,0,1,0,0
10157,,0,0,0,0,0,1
10159,G,0,0,1,0,0,0
10162,R,0,1,0,0,0,0
10163,U,1,0,0,0,0,0
10165,R,0,1,0,0,0,0
10168,,0,0,0,0,0,1
10169,U,1,0,0,0,0,0
10170,R,0,1,0,0,0,0
10171,G,0,0,1,0,0,0
10172,G,0,0,1,0,0,0
10173,R,0,1,0,0,0,0
10174,B,0,0,0,0,1,0
10175,B,0,0,0,0,1,0
10176,,0,0,0,0,0,1
10177,G,0,0,1,0,0,0
10179,,0,0,0,0,0,1
10180,G,0,0,1,0,0,0
10181,GUW,1,0,1,1,0,0
10182,GR,0,1,1,0,0,0
10184,R,0,1,0,0,0,0
10185,U,1,0,0,0,0,0
10187,G,0,0,1,0,0,0
10188,,0,0,0,0,0,1
10191,G,0,0,1,0,0,0
10194,,0,0,0,0,0,1
10195,G,0,0,1,0,0,0
10196,,0,0,0,0,0,1
10197,B,0,0,0,0,1,0
10198,GR,0,1,1,0,0,0
10199,B,0,0,0,0,1,0
10202,,0,0,0,0,0,1
10203,W,0,0,0,1,0,0
10204,BR,0,1,0,0,1,0
10205,G,0,0,1,0,0,0
10207,R,0,1,0,0,0,0
10208,,0,0,0,0,0,1
10209,G,0,0,1,0,0,0
10210,G,0,0,1,0,0,0
10211,G,0,0,1,0,0,0
10213,G,0,0,1,0,0,0
10215,G,0,0,1,0,0,0
10216,B,0,0,0,0,1,0
10217,G,0,0,1,0,0,0
10220,B,0,0,0,0,1,0
10221,GU,1,0,1,0,0,0
10223,BW,0,0,0,1,1,0
10224,U,1,0,0,0,0,0
10225,U,1,0,0,0,0,0
10229,BW,0,0,0,1,1,0
10230,R,0,1,0,0,0,0
10231,B,0,0,0,0,1,0
10235,R,0,1,0,0,0,0
10238,U,1,0,0,0,0,0
10240,W,0,0,0,1,0,0
10242,GW,0,0,1,1,0,0
10243,R,0,1,0,0,0,0
10247,R,0,1,0,0,0,0
10248,R,0,1,0,0,0,0
10249,B,0,0,0,0,1,0
10250,U,1,0,0,0,0,0
10252,U,1,0,0,0,0,0
10256,BR,0,1,0,0,1,0
10257,,0,0,0,0,0,1
10258,U,1,0,0,0,0,0
10260,,0,0,0,0,0,1
10267,R,0,1,0,0,0,0
10274,G,0,0,1,0,0,0
10275,RU,1,1,0,0,0,0
10277,,0,0,0,0,0,1
10278,,0,0,0,0,0,1
10279,W,0,0,0,1,0,0
10284,U,1,0,0,0,0,0
10289,W,0,0,0,1,0,0
10291,G,0,0,1,0,0,0
10293,RW,0,1,0,1,0,0
10294,BU,1,0,0,0,1,0
10299,U,1,0,0,0,0,0
10301,,0,0,0,0,0,1
10303,U,1,0,0,0,0,0
10305,BUW,1,0,0,1,1,0
10307,U,1,0,0,0,0,0
10308,RW,0,1,0,1,0,0
10309,G,0,0,1,0,0,0
10312,B,0,0,0,0,1,0
10313,BGR,0,1,1,0,1,0
10315,R,0,1,0,0,0,0
10316,,0,0,0,0,0,1
10317,R,0,1,0,0,0,0
10321,U,1,0,0,0,0,0
10323,W,0,0,0,1,0,0
10325,W,0,0,0,1,0,0
10328,BRU,1,1,0,0,1,0
10330,R,0,1,0,0,0,0
10331,R,0,1,0,0,0,0
10334,U,1,0,0,0,0,0
10336,GR,0,1,1,0,0,0
10337,,0,0,0,0,0,1
10339,B,0,0,0,0,1,0
10341,U,1,0,0,0,0,0
10344,GR,0,1,1,0,0,0
10345,G,0,0,1,0,0,0
10348,G,0,0,1,0,0,0
10349,B,0,0,0,0,1,0
10350,,0,0,0,0,0,1
10352,G,0,0,1,0,0,0
10354,R,0,1,0,0,0,0
10355,G,0,0,1,0,0,0
10357,U,1,0,0,0,0,0
10358,R,0,1,0,0,0,0
10362,R,0,1,0,0,0,0
10363,B,0,0,0,0,1,0
10367,W,0,0,0,1,0,0
10368,W,0,0,0,1,0,0
10373,U,1,0,0,0,0,0
10377,G,0,0,1,0,0,0
10378,B,0,0,0,0,1,0
10379,G,0,0,1,0,0,0
10381,BR,0,1,0,0,1,0
10383,G,0,0,1,0,0,0
10386,B,0,0,0,0,1,0
10389,,0,0,0,0,0,1
10392,U,1,0,0,0,0,0
10393,R,0,1,0,0,0,0
10395,BR,0,1,0,0,1,0
10398,U,1,0,0,0,0,0
10399,G,0,0,1,0,0,0
10400,B,0,0,0,0,1,0
10402,GUW,1,0,1,1,0,0
10408,U,1,0,0,0,0,0
10409,B,0,0,0,0,1,0
10410,RW,0,1,0,1,0,0
10415,B,0,0,0,0,1,0
10416,W,0,0,0,1,0,0
10418,U,1,0,0,0,0,0
10420,B,0,0,0,0,1,0
10423,B,0,0,0,0,1,0
10424,B,0,0,0,0,1,0
10425,UW,1,0,0,1,0,0
10426,RW,0,1,0,1,0,0
10427,U,1,0,0,0,0,0
10428,GR,0,1,1,0,0,0
10429,GR,0,1,1,0,0,0
10433,R,0,1,0,0,0,0
10439,W,0,0,0,1,0,0
10440,U,1,0,0,0,0,0
10441,G,0,0,1,0,0,0
10443,B,0,0,0,0,1,0
10444,BW,0,0,0,1,1,0
10445,R,0,1,0,0,0,0
10446,B,0,0,0,0,1,0
10447,B,0,0,0,0,1,0
10448,B,0,0,0,0,1,0
10453,G,0,0,1,0,0,0
10454,GR,0,1,1,0,0,0
10455,,0,0,0,0,0,1
10456,R,0,1,0,0,0,0
10457,G,0,0,1,0,0,0
10458,,0,0,0,0,0,1
10462,R,0,1,0,0,0,0
10465,G,0,0,1,0,0,0
10469,G,0,0,1,0,0,0
10470,GW,0,0,1,1,0,0
10471,BGRUW,1,1,1,1,1,0
10472,G,0,0,1,0,0,0
10476,B,0,0,0,0,1,0
10477,B,0,0,0,0,1,0
10478,W,0,0,0,1,0,0
10479,U,1,0,0,0,0,0
10482,UW,1,0,0,1,0,0
10483,U,1,0,0,0,0,0
10484,,0,0,0,0,0,1
10486,B,0,0,0,0,1,0
10487,G,0,0,1,0,0,0
10488,GU,1,0,1,0,0,0
10490,R,0,1,0,0,0,0
10491,W,0,0,0,1,0,0
10494,G,0,0,1,0,0,0
10496,W,0,0,0,1,0,0
10497,B,0,0,0,0,1,0
10498,B,0,0,0,0,1,0
10499,R,0,1,0,0,0,0
10500,,0,0,0,0,0,1
10501,R,0,1,0,0,0,0
10503,,0,0,0,0,0,1
10504,BRW,0,1,0,1,1,0
10509,GU,1,0,1,0,0,0
10511,B,0,0,0,0,1,0
10514,W,0,0,0,1,0,0
10515,,0,0,0,0,0,1
10517,GU,1,0,1,0,0,0
10518,B,0,0,0,0,1,0
10520,B,0,0,0,0,1,0
10522,G,0,0,1,0,0,0
10523,R,0,1,0,0,0,0
10524,R,0,1,0,0,0,0
10526,GW,0,0,1,1,0,0
10527,W,0,0,0,1,0,0
10528,BUW,1,0,0,1,1,0
10530,G,0,0,1,0,0,0
10532,BU,1,0,0,0,1,0
10533,,0,0,0,0,0,1
10534,W,0,0,0,1,0,0
10538,G,0,0,1,0,0,0
10539,R,0,1,0,0,0,0
10540,R,0,1,0,0,0,0
10541,R,0,1,0,0,0,0
10543,B,0,0,0,0,1,0
10544,R,0,1,0,0,0,0
10545,R,0,1,0,0,0,0
10547,GW,0,0,1,1,0,0
10548,R,0,1,0,0,0,0
10550,G,0,0,1,0,0,0
10552,W,0,0,0,1,0,0
10556,G,0,0,1,0,0,0
10559,GU,1,0,1,0,0,0
10560,B,0,0,0,0,1,0
10561,,0,0,0,0,0,1
10562,R,0,1,0,0,0,0
10563,U,1,0,0,0,0,0
10566,W,0,0,0,1,0,0
10568,B,0,0,0,0,1,0
10572,,0,0,0,0,0,1
10573,,0,0,0,0,0,1
10576,G,0,0,1,0,0,0
10577,R,0,1,0,0,0,0
10578,B,0,0,0,0,1,0
10579,,0,0,0,0,0,1
10582,W,0,0,0,1,0,0
10584,W,0,0,0,1,0,0
10586,R,0,1,0,0,0,0
10587,R,0,1,0,0,0,0
10588,W,0,0,0,1,0,0
10590,,0,0,0,0,0,1
10591,U,1,0,0,0,0,0
10592,B,0,0,0,0,1,0
10595,,0,0,0,0,0,1
10596,W,0,0,0,1,0,0
10597,BR,0,1,0,0,1,0
10598,R,0,1,0,0,0,0
10600,,0,0,0,0,0,1
10601,,0,0,0,0,0,1
10602,U,1,0,0,0,0,0
10603,W,0,0,0,1,0,0
10604,R,0,1,0,0,0,0
10605,W,0,0,0,1,0,0
10606,G,0,0,1,0,0,0
10607,U,1,0,0,0,0,0
10610,,0,0,0,0,0,1
10611,W,0,0,0,1,0,0
10612,W,0,0,0,1,0,0
10614,UW,1,0,0,1,0,0
10615,GUW,1,0,1,1,0,0
10618,W,0,0,0,1,0,0
10619,,0,0,0,0,0,1
10628,G,0,0,1,0,0,0
10629,R,0,1,0,0,0,0
10630,R,0,1,0,0,0,0
10631,W,0,0,0,1,0,0
10633,G,0,0,1,0,0,0
10634,GW,0,0,1,1,0,0
10635,UW,1,0,0,1,0,0
10636,RW,0,1,0,1,0,0
10637,G,0,0,1,0,0,0
10638,BG,0,0,1,0,1,0
10641,U,1,0,0,0,0,0
10644,W,0,0,0,1,0,0
10645,R,0,1,0,0,0,0
10646,R,0,1,0,0,0,0
10647,,0,0,0,0,0,1
10650,GR,0,1,1,0,0,0
10652,,0,0,0,0,0,1
10654,BGR,0,1,1,0,1,0
10656,U,1,0,0,0,0,0
10660,R,0,1,0,0,0,0
10662,G,0,0,1,0,0,0
10663,,0,0,0,0,0,1
10664,,0,0,0,0,0,1
10665,W,0,0,0,1,0,0
10666,R,0,1,0,0,0,0
10668,U,1,0,0,0,0,0
10669,B,0,0,0,0,1,0
10670,R,0,1,0,0,0,0
10671,G,0,0,1,0,0,0
10672,R,0,1,0,0,0,0
10674,,0,0,0,0,0,1
10676,B,0,0,0,0,1,0
10679,B,0,0,0,0,1,0
10680,W,0,0,0,1,0,0
10681,BG,0,0,1,0,1,0
10682,B,0,0,0,0,1,0
10684,W,0,0,0,1,0,0
10685,,0,0,0,0,0,1
10686,B,0,0,0,0,1,0
10687,,0,0,0,0,0,1
10688,B,0,0,0,0,1,0
10689,,0,0,0,0,0,1
10690,B,0,0,0,0,1,0
10691,,0,0,0,0,0,1
10692,R,0,1,0,0,0,0
10694,RW,0,1,0,1,0,0
10695,BGRUW,1,1,1,1,1,0
10696,W,0,0,0,1,0,0
10697,G,0,0,1,0,0,0
10700,B,0,0,0,0,1,0
10701,BG,0,0,1,0,1,0
10702,R,0,1,0,0,0,0
10703,BRU,1,1,0,0,1,0
10704,,0,0,0,0,0,1
10705,B,0,0,0,0,1,0
10708,G,0,0,1,0,0,0
10709,U,1,0,0,0,0,0
10714,W,0,0,0,1,0,0
10720,,0,0,0,0,0,1
10721,B,0,0,0,0,1,0
10722,W,0,0,0,1,0,0
10723,G,0,0,1,0,0,0
10724,B,0,0,0,0,1,0
10726,GR,0,1,1,0,0,0
10727,,0,0,0,0,0,1
10728,R,0,1,0,0,0,0
10729,G,0,0,1,0,0,0
10730,BU,1,0,0,0,1,0
10731,,0,0,0,0,0,1
10732,B,0,0,0,0,1,0
10733,BW,0,0,0,1,1,0
10734,,0,0,0,0,0,1
10735,,0,0,0,0,0,1
10736,B,0,0,0,0,1,0
10737,B,0,0,0,0,1,0
10743,G,0,0,1,0,0,0
10744,B,0,0,0,0,1,0
10745,G,0,0,1,0,0,0
10748,GUW,1,0,1,1,0,0
10749,U,1,0,0,0,0,0
10750,U,1,0,0,0,0,0
10754,W,0,0,0,1,0,0
10758,R,0,1,0,0,0,0
10759,G,0,0,1,0,0,0
10762,U,1,0,0,0,0,0
10764,U,1,0,0,0,0,0
10766,W,0,0,0,1,0,0
10767,U,1,0,0,0,0,0
10768,R,0,1,0,0,0,0
10769,R,0,1,0,0,0,0
10773,W,0,0,0,1,0,0
10774,B,0,0,0,0,1,0
10776,R,0,1,0,0,0,0
10777,UW,1,0,0,1,0,0
10778,GW,0,0,1,1,0,0
10779,U,1,0,0,0,0,0
10780,W,0,0,0,1,0,0
10781,R,0,1,0,0,0,0
10783,B,0,0,0,0,1,0
10784,W,0,0,0,1,0,0
10785,G,0,0,1,0,0,0
10787,G,0,0,1,0,0,0
10788,RU,1,1,0,0,0,0
10789,,0,0,0,0,0,1
10790,,0,0,0,0,0,1
10795,B,0,0,0,0,1,0
10796,R,0,1,0,0,0,0
10805,B,0,0,0,0,1,0
10807,W,0,0,0,1,0,0
10809,U,1,0,0,0,0,0
10811,B,0,0,0,0,1,0
10813,,0,0,0,0,0,1
10814,U,1,0,0,0,0,0
10815,B,0,0,0,0,1,0
10816,W,0,0,0,1,0,0
10817,G,0,0,1,0,0,0
10819,U,1,0,0,0,0,0
10820,W,0,0,0,1,0,0
10822,R,0,1,0,0,0,0
10824,R,0,1,0,0,0,0
10825,U,1,0,0,0,0,0
10826,R,0,1,0,0,0,0
10828,W,0,0,0,1,0,0
10829,W,0,0,0,1,0,0
10830,W,0,0,0,1,0,0
10832,BR,0,1,0,0,1,0
10833,,0,0,0,0,0,1
10835,R,0,1,0,0,0,0
10836,W,0,0,0,1,0,0
10837,,0,0,0,0,0,1
10838,G,0,0,1,0,0,0
10839,GR,0,1,1,0,0,0
10840,,0,0,0,0,0,1
10843,U,1,0,0,0,0,0
10844,U,1,0,0,0,0,0
10846,BG,0,0,1,0,1,0
10847,GU,1,0,1,0,0,0
10848,W,0,0,0,1,0,0
10849,G,0,0,1,0,0,0
10850,B,0,0,0,0,1,0
10851,B,0,0,0,0,1,0
10854,UW,1,0,0,1,0,0
10857,R,0,1,0,0,0,0
10858,B,0,0,0,0,1,0
10860,,0,0,0,0,0,1
10861,R,0,1,0,0,0,0
10862,U,1,0,0,0,0,0
10863,U,1,0,0,0,0,0
10865,,0,0,0,0,0,1
10869,R,0,1,0,0,0,0
10870,R,0,1,0,0,0,0
10873,,0,0,0,0,0,1
10874,GRW,0,1,1,1,0,0
10875,BU,1,0,0,0,1,0
10876,R,0,1,0,0,0,0
10877,GW,0,0,1,1,0,0
10880,U,1,0,0,0,0,0
10882,R,0,1,0,0,0,0
10884,B,0,0,0,0,1,0
10886,W,0,0,0,1,0,0
10891,W,0,0,0,1,0,0
10892,,0,0,0,0,0,1
10893,,0,0,0,0,0,1
10894,GRW,0,1,1,1,0,0
10898,B,0,0,0,0,1,0
10900,,0,0,0,0,0,1
10901,W,0,0,0,1,0,0
10905,B,0,0,0,0,1,0
10908,,0,0,0,0,0,1
10909,,0,0,0,0,0,1
10911,B,0,0,0,0,1,0
10913,G,0,0,1,0,0,0
10914,W,0,0,0,1,0,0
10918,U,1,0,0,0,0,0
10919,B,0,0,0,0,1,0
10920,U,1,0,0,0,0,0
10923,W,0,0,0,1,0,0
10924,W,0,0,0,1,0,0
10925,B,0,0,0,0,1,0
10929,GR,0,1,1,0,0,0
10930,R,0,1,0,0,0,0
10931,G,0,0,1,0,0,0
10934,BW,0,0,0,1,1,0
10935,U,1,0,0,0,0,0
10940,B,0,0,0,0,1,0
10941,,0,0,0,0,0,1
10943,,0,0,0,0,0,1
10944,W,0,0,0,1,0,0
10945,,0,0,0,0,0,1
10947,,0,0,0,0,0,1
10948,,0,0,0,0,0,1
10949,U,1,0,0,0,0,0
10950,,0,0,0,0,0,1
10951,R,0,1,0,0,0,0
10952,GR,0,1,1,0,0,0
10953,,0,0,0,0,0,1
10954,U,1,0,0,0,0,0
10957,B,0,0,0,0,1,0
10959,RU,1,1,0,0,0,0
10960,RW,0,1,0,1,0,0
10962,U,1,0,0,0,0,0
10963,,0,0,0,0,0,1
10964,R,0,1,0,0,0,0
10965,GU,1,0,1,0,0,0
10966,B,0,0,0,0,1,0
10967,R,0,1,0,0,0,0
10973,,0,0,0,0,0,1
10975,U,1,0,0,0,0,0
10976,R,0,1,0,0,0,0
10979,G,0,0,1,0,0,0
10980,,0,0,0,0,0,1
10981,,0,0,0,0,0,1
10982,W,0,0,0,1,0,0
10984,W,0,0,0,1,0,0
10985,,0,0,0,0,0,1
10986,U,1,0,0,0,0,0
10988,U,1,0,0,0,0,0
10990,B,0,0,0,0,1,0
10992,U,1,0,0,0,0,0
10995,B,0,0,0,0,1,0
10996,,0,0,0,0,0,1
10998,RW,0,1,0,1,0,0
10999,B,0,0,0,0,1,0
11000,G,0,0,1,0,0,0
11001,B,0,0,0,0,1,0
11002,,0,0,0,0,0,1
11005,BG,0,0,1,0,1,0
11006,U,1,0,0,0,0,0
11009,W,0,0,0,1,0,0
11010,W,0,0,0,1,0,0
11012,W,0,0,0,1,0,0
11013,U,1,0,0,0,0,0
11014,G,0,0,1,0,0,0
11015,BG,0,0,1,0,1,0
11016,R,0,1,0,0,0,0
11018,B,0,0,0,0,1,0
11020,U,1,0,0,0,0,0
11023,U,1,0,0,0,0,0
11028,,0,0,0,0,0,1
11029,U,1,0,0,0,0,0
11030,U,1,0,0,0,0,0
11031,,0,0,0,0,0,1
11033,,0,0,0,0,0,1
11035,,0,0,0,0,0,1
11037,,0,0,0,0,0,1
11038,U,1,0,0,0,0,0
11039,R,0,1,0,0,0,0
11040,U,1,0,0,0,0,0
11043,G,0,0,1,0,0,0
11045,U,1,0,0,0,0,0
11047,U,1,0,0,0,0,0
11049,W,0,0,0,1,0,0
11053,U,1,0,0,0,0,0
11054,R,0,1,0,0,0,0
11055,GW,0,0,1,1,0,0
11056,U,1,0,0,0,0,0
11059,W,0,0,0,1,0,0
11061,R,0,1,0,0,0,0
11062,B,0,0,0,0,1,0
11063,GW,0,0,1,1,0,0
11064,BU,1,0,0,0,1,0
11066,G,0,0,1,0,0,0
11067,B,0,0,0,0,1,0
11068,,0,0,0,0,0,1
11069,R,0,1,0,0,0,0
11071,,0,0,0,0,0,1
11072,B,0,0,0,0,1,0
11074,BR,0,1,0,0,1,0
11075,,0,0,0,0,0,1
11081,U,1,0,0,0,0,0
11086,B,0,0,0,0,1,0
11089,BG,0,0,1,0,1,0
11090,U,1,0,0,0,0,0
11091,R,0,1,0,0,0,0
11093,G,0,0,1,0,0,0
11094,B,0,0,0,0,1,0
11095,G,0,0,1,0,0,0
11096,B,0,0,0,0,1,0
11098,G,0,0,1,0,0,0
11100,,0,0,0,0,0,1
11102,R,0,1,0,0,0,0
11104,G,0,0,1,0,0,0
11107,G,0,0,1,0,0,0
11111,B,0,0,0,0,1,0
11113,RU,1,1,0,0,0,0
11114,R,0,1,0,0,0,0
11115,U,1,0,0,0,0,0
11117,W,0,0,0,1,0,0
11118,U,1,0,0,0,0,0
11119,B,0,0,0,0,1,0
11120,RW,0,1,0,1,0,0
11121,U,1,0,0,0,0,0
11124,U,1,0,0,0,0,0
11126,B,0,0,0,0,1,0
11133,BR,0,1,0,0,1,0
11136,R,0,1,0,0,0,0
11137,,0,0,0,0,0,1
11138,G,0,0,1,0,0,0
11139,,0,0,0,0,0,1
11140,RU,1,1,0,0,0,0
11143,UW,1,0,0,1,0,0
11144,RW,0,1,0,1,0,0
11145,RW,0,1,0,1,0,0
11147,B,0,0,0,0,1,0
11148,B,0,0,0,0,1,0
11149,B,0,0,0,0,1,0
11151,R,0,1,0,0,0,0
11152,G,0,0,1,0,0,0
11155,W,0,0,0,1,0,0
11159,BR,0,1,0,0,1,0
11160,B,0,0,0,0,1,0
11167,,0,0,0,0,0,1
11169,B,0,0,0,0,1,0
11170,W,0,0,0,1,0,0
11171,R,0,1,0,0,0,0
11173,U,1,0,0,0,0,0
11179,R,0,1,0,0,0,0
11183,W,0,0,0,1,0,0
11188,W,0,0,0,1,0,0
11189,U,1,0,0,0,0,0
11190,R,0,1,0,0,0,0
11193,W,0,0,0,1,0,0
11196,U,1,0,0,0,0,0
11197,W,0,0,0,1,0,0
11198,U,1,0,0,0,0,0
11201,B,0,0,0,0,1,0
11202,U,1,0,0,0,0,0
11210,,0,0,0,0,0,1
11211,B,0,0,0,0,1,0
11214,G,0,0,1,0,0,0
11215,B,0,0,0,0,1,0
11216,W,0,0,0,1,0,0
11217,BR,0,1,0,0,1,0
