,types
6222,['Creature']
6223,['Land']
6224,['Artifact']
6225,['Artifact']
6226,['Creature']
6227,['Creature']
6228,['Creature']
6230,['Creature']
6231,['Creature']
6232,['Creature']
6233,['Land']
6234,['Artifact']
6235,['Instant']
6237,['Sorcery']
6239,['Instant']
6241,['Creature']
6242,['Land']
6243,['Planeswalker']
6244,['Creature']
6245,['Instant']
6246,['Sorcery']
6248,['Sorcery']
6249,['Instant']
6250,['Instant']
6252,['Enchantment']
6253,['Creature']
6254,['Creature']
6255,['Sorcery']
6256,['Artifact']
6257,['Creature']
6258,['Creature']
6260,['Artifact']
6261,['Tribal' 'Enchantment']
6263,['Creature']
6264,['Instant']
6266,['Sorcery']
6267,['Artifact' 'Creature']
6268,['Creature']
6270,['Artifact']
6272,['Instant']
6273,['Tribal' 'Instant']
6278,['Sorcery']
6280,['Artifact']
6281,['Land']
6283,['Creature']
6284,['Artifact' 'Land']
6285,['Creature']
6286,['Sorcery']
6287,['Creature']
6291,['Instant']
6292,['Creature']
6295,['Creature']
6296,['Artifact']
6297,['Sorcery']
6298,['Creature']
6299,['Creature']
6301,['Instant']
6303,['Creature']
6306,['Sorcery']
6307,['Creature']
6308,['Creature']
6309,['Instant']
6311,['Creature']
6312,['Creature']
6314,['Instant']
6317,['Creature']
6319,['Sorcery']
6323,['Instant']
6324,['Sorcery']
6326,['Instant']
6327,['Instant']
6328,['Creature']
6329,['Instant']
6330,['Creature']
6331,['Creature']
6333,['Creature']
6334,['Creature']
6337,['Enchantment']
6338,['Sorcery']
6339,['Sorcery']
6340,['Card']
6342,['Creature']
6343,['Sorcery']
6344,['Artifact']
6345,['Creature']
6348,['Artifact']
6349,['Creature']
6350,['Creature']
6351,['Creature']
6353,['Plane']
6354,['Creature']
6355,['Artifact' 'Creature']
6356,['Instant']
6357,['Creature']
6361,['Enchantment']
6364,['Creature']
6365,['Enchantment']
6367,['Creature']
6370,['Sorcery']
6372,['Creature']
6373,['Creature']
6374,['Instant']
6375,['Instant']
6376,['Artifact']
6377,['Artifact']
6378,['Creature']
6379,['Creature']
6380,['Enchantment']
6381,['Creature']
6382,['Sorcery']
6383,['Planeswalker']
6385,['Sorcery']
6386,['Sorcery']
6389,['Creature']
6390,['Artifact']
6391,['Planeswalker']
6392,['Artifact']
6393,['Creature']
6394,['Creature']
6396,['Creature']
6398,['Creature']
6399,['Land']
6400,['Creature']
6401,['Creature']
6402,['Instant']
6403,['Instant']
6404,['Creature']
6405,['Creature']
6410,['Instant']
6412,['Card']
6414,['Creature']
6415,['Creature']
6419,['Card']
6421,['Creature']
6422,['Artifact' 'Creature']
6423,['Artifact']
6424,['Creature']
6428,['Sorcery']
6429,['Enchantment']
6430,['Card']
6431,['Creature']
6434,['Creature']
6436,['Sorcery']
6437,['Creature']
6438,['Enchantment']
6439,['Artifact' 'Creature']
6440,['Enchantment']
6441,['Creature']
6442,['Creature']
6444,['Creature']
6445,['Creature']
6448,['Enchantment']
6449,['Instant']
6450,['Land']
6451,['Creature']
6452,['Enchantment' 'Creature']
6453,['Instant']
6455,['Creature']
6458,['Instant']
6459,['Enchantment']
6460,['Sorcery']
6461,['Instant']
6462,['Instant']
6463,['Creature']
6464,['Sorcery']
6465,['Creature']
6466,['Instant']
6467,['Artifact']
6468,['Creature']
6469,['Creature']
6471,['Artifact']
6472,['Creature']
6474,['Creature']
6475,['Creature']
6476,['Sorcery']
6478,['Land']
6479,['Creature']
6480,['Creature']
6481,['Token' 'Creature']
6483,['Sorcery']
6485,['Creature']
6490,['Creature']
6492,['Creature']
6493,['Artifact' 'Creature']
6497,['Creature']
6500,['Creature']
6501,['Instant']
6503,['Creature']
6504,['Instant']
6505,['Artifact' 'Creature']
6506,['Creature']
6507,['Instant']
6509,['Enchantment']
6511,['Creature']
6512,['Land']
6513,['Artifact']
6515,['Sorcery']
6516,['Creature']
6519,['Sorcery']
6523,['Enchantment']
6525,['Sorcery']
6526,['Artifact' 'Creature']
6527,['Creature']
6532,['Creature']
6533,['Creature']
6534,['Creature']
6535,['Artifact' 'Creature']
6538,['Sorcery']
6539,['Creature']
6540,['Land' 'Creature']
6541,['Enchantment']
6543,['Creature']
6544,['Creature']
6545,['Sorcery']
6546,['Creature']
6547,['Creature']
6548,['Instant']
6549,['Creature']
6550,['Enchantment' 'Creature']
6551,['Creature']
6552,['Creature']
6555,['Artifact' 'Creature']
6556,['Land']
6557,['Instant']
6559,['Enchantment']
6560,['Creature']
6561,['Sorcery']
6562,['Creature']
6563,['Creature']
6564,['Card']
6565,['Creature']
6566,['Planeswalker']
6568,['Sorcery']
6569,['Sorcery']
6571,['Artifact']
6573,['Creature']
6574,['Land']
6575,['Creature']
6576,['Token' 'Creature']
6577,['Creature']
6578,['Creature']
6579,['Land']
6582,['Land']
6583,['Creature']
6584,['Card']
6585,['Creature']
6588,['Sorcery']
6590,['Creature']
6591,['Enchantment']
6593,['Planeswalker']
6594,['Creature']
6595,['Land']
6597,['Creature']
6598,['Planeswalker']
6601,['Creature']
6604,['Artifact']
6606,['Instant']
6607,['Creature']
6608,['Enchantment']
6611,['Sorcery']
6613,['Creature']
6614,['Land']
6615,['Instant']
6616,['Creature']
6617,['Artifact' 'Creature']
6619,['Sorcery']
6620,['Creature']
6621,['Instant']
6622,['Artifact']
6625,['Creature']
6626,['Land']
6627,['Creature']
6628,['Instant']
6629,['Creature']
6630,['Sorcery']
6633,['Creature']
6634,['Planeswalker']
6635,['Planeswalker']
6636,['Creature']
6638,['Creature']
6639,['Creature']
6640,['Sorcery']
6641,['Instant']
6644,['Artifact' 'Creature']
6646,['Creature']
6648,['Artifact']
6649,['Land']
6651,['Land']
6652,['Creature']
6653,['Artifact']
6654,['Creature']
6656,['Creature']
6657,['Sorcery']
6658,['Enchantment']
6659,['Creature']
6660,['Sorcery']
6661,['Creature']
6662,['Sorcery']
6663,['Creature']
6664,['Token' 'Creature']
6665,['Creature']
6666,['Instant']
6667,['Stickers']
6668,['Card']
6669,['Creature']
6670,['Creature']
6672,['Artifact']
6676,['Sorcery']
6678,['Creature']
6679,['Enchantment']
6680,['Creature']
6681,['Land']
6684,['Creature']
6686,['Land']
6687,['Card']
6688,['Artifact']
6689,['Card']
6690,['Creature']
6692,['Enchantment' 'Creature']
6693,['Creature']
6695,['Artifact']
6696,['Sorcery']
6697,['Creature']
6698,['Creature']
6700,['Creature']
6701,['Instant']
6704,['Creature']
6706,['Sorcery']
6707,['Artifact']
6708,['Creature']
6709,['Creature']
6710,['Enchantment']
6712,['Card']
6714,['Artifact']
6715,['Creature']
6718,['Instant']
6720,['Creature']
6721,['Creature']
6722,['Vanguard']
6724,['Creature']
6725,['Card']
6727,['Creature']
6728,['Creature']
6729,['Sorcery']
6731,['Creature']
6732,['Creature']
6733,['Creature']
6736,['Creature']
6737,['Card']
6740,['Creature']
6741,['Artifact' 'Creature']
6744,['Instant']
6745,['Creature']
6746,['Creature']
6747,['Sorcery']
6751,['Artifact']
6755,['Tribal' 'Instant']
6756,['Enchantment']
6757,['Sorcery']
6759,['Creature']
6760,['Artifact']
6761,['Instant']
6763,['Artifact']
6764,['Creature']
6765,['Land']
6766,['Enchantment']
6767,['Enchantment']
6768,['Creature']
6771,['Creature']
6772,['Creature']
6773,['Enchantment']
6774,['Creature']
6776,['Artifact']
6777,['Artifact']
6778,['Creature']
6779,['Artifact']
6781,['Instant']
6782,['Enchantment']
6784,['Sorcery']
6785,['Instant']
6786,['Card']
6787,['Creature']
6788,['Creature']
6789,['Instant']
6790,['Land']
6791,['Creature']
6792,['Creature']
6794,['Creature']
6795,['Creature']
6797,['Instant']
6798,['Sorcery']
6800,['Enchantment']
6802,['Creature']
6803,['Planeswalker']
6804,['Creature']
6806,['Creature']
6809,['Creature']
6810,['Artifact']
6811,['Sorcery']
6812,['Creature']
6813,['Instant']
6814,['Card']
6815,['Artifact']
6818,['Land']
6821,['Instant']
6822,['Artifact' 'Creature']
6823,['Creature']
6825,['Sorcery']
6826,['Artifact']
6829,['Card']
6830,['Creature']
6831,['Enchantment']
6834,['Card']
6835,['Sorcery']
6836,['Sorcery']
6837,['Creature']
6839,['Instant']
6840,['Enchantment']
6841,['Creature']
6842,['Land']
6843,['Sorcery']
6844,['Sorcery']
6846,['Instant']
6848,['Creature']
6849,['Enchantment']
6850,['Creature']
6852,['Creature']
6853,['Artifact']
6854,['Land']
6857,['Instant']
6861,['Creature']
6862,['Enchantment']
6863,['Instant']
6864,['Creature']
6865,['Instant']
6866,['Enchantment']
6867,['Creature']
6868,['Creature']
6871,['Artifact']
6873,['Creature']
6875,['Card']
6879,['Land']
6880,['Artifact']
6881,['Sorcery']
6883,['Creature']
6884,['Sorcery']
6885,['Card']
6886,['Instant']
6887,['Creature']
6888,['Sorcery']
6889,['Creature']
6890,['Enchantment' 'Creature']
6892,['Creature']
6893,['Creature']
6894,['Enchantment']
6895,['Enchantment']
6897,['Creature']
6898,['Card']
6902,['Creature']
6904,['Sorcery']
6906,['Creature']
6907,['Creature']
6908,['Sorcery']
6909,['Instant']
6910,['Creature']
6911,['Planeswalker']
6913,['Artifact']
6914,['Artifact']
6915,['Creature']
6916,['Artifact']
6917,['Instant']
6918,['Creature']
6919,['Instant']
6920,['Instant']
6921,['Land']
6923,['Enchantment']
6925,['Creature']
6926,['Creature']
6927,['Creature']
6928,['Creature']
6929,['Artifact']
6930,['Land']
6932,['Creature']
6933,['Sorcery']
6934,['Creature']
6935,['Card']
6936,['Creature']
6937,['Token' 'Artifact']
6942,['Instant']
6944,['Card']
6945,['Creature']
6946,['Creature']
6950,['Sorcery']
6954,['Creature']
6955,['Creature']
6956,['Artifact']
6957,['Creature']
6958,['Creature']
6959,['Sorcery']
6960,['Instant']
6961,['Creature']
6962,['Artifact' 'Creature']
6964,['Hero']
6967,['Enchantment']
6969,['Artifact']
6971,['Sorcery']
6972,['Instant']
6973,['Creature']
6974,['Enchantment']
6978,['Creature']
6979,['Creature']
6980,['Enchantment']
6981,['Creature']
6982,['Artifact']
6984,['Creature']
6985,['Creature']
6987,['Land']
6989,['Creature']
6991,['Creature']
6993,['Enchantment']
6996,['Sorcery']
6997,['Creature']
6998,['Creature']
6999,['Instant']
7000,['Creature']
7002,['Artifact']
7003,['Instant']
7006,['Creature']
7007,['Creature']
7008,['Creature']
7009,['Plane']
7010,['Sorcery']
7011,['Creature']
7012,['Creature']
7014,['Enchantment']
7015,['Creature']
7016,['Creature']
7018,['Creature']
7019,['Instant']
7020,['Artifact']
7022,['Creature']
7023,['Enchantment']
7025,['Creature']
7027,['Enchantment']
7029,['Creature']
7030,['Creature']
7031,['Creature']
7032,['Enchantment']
7034,['Creature']
7037,['Card']
7039,['Enchantment']
7042,['Enchantment']
7044,['Creature']
7045,['Stickers']
7046,['Creature']
7048,['Creature']
7050,['Conspiracy']
7051,['Creature']
7053,['Creature']
7055,['Creature']
7057,['Artifact']
7060,['Creature']
7061,['Artifact']
7062,['Creature']
7063,['Creature']
7064,['Creature']
7065,['Enchantment']
7068,['Creature']
7069,['Enchantment']
7070,['Enchantment']
7071,['Land']
7072,['Creature']
7073,['Sorcery']
7079,['Creature']
7081,['Creature']
7082,['Instant']
7084,['Creature']
7085,['Creature']
7086,['Creature']
7088,['Creature']
7089,['Enchantment']
7091,['Instant']
7092,['Sorcery']
7094,['Enchantment']
7095,['Sorcery']
7100,['Creature']
7102,['Enchantment']
7103,['Artifact']
7104,['Artifact']
7105,['Card']
7106,['Artifact' 'Creature']
7107,['Creature']
7110,['Enchantment']
7111,['Creature']
7112,['Card']
7113,['Creature']
7114,['Card']
7116,['Artifact']
7117,['Creature']
7118,['Enchantment']
7120,['Creature']
7121,['Creature']
7123,['Enchantment']
7125,['Creature']
7129,['Instant']
7130,['Creature']
7131,['Creature']
7133,['Sorcery']
7135,['Land']
7137,['Land']
7140,['Creature']
7141,['Sorcery']
7142,['Creature']
7143,['Creature']
7146,['Creature']
7148,['Artifact']
7151,['Enchantment']
7153,['Creature']
7154,['Card']
7157,['Creature']
7160,['Artifact']
7161,['Instant']
7162,['Creature']
7163,['Instant']
7164,['Creature']
7166,['Land']
7167,['Artifact']
7169,['Creature']
7170,['Enchantment']
7171,['Creature']
7172,['Artifact' 'Creature']
7173,['Creature']
7177,['Land']
7178,['Creature']
7179,['Card']
7180,['Creature']
7181,['Creature']
7183,['Artifact']
7185,['Creature']
7186,['Creature']
7187,['Creature']
7188,['Creature']
7190,['Card']
7191,['Creature']
7192,['Token' 'Creature']
7193,['Enchantment']
7195,['Creature']
7197,['Artifact']
7199,['Card']
7200,['Creature']
7202,['Creature']
7203,['Enchantment']
7204,['Instant']
7205,['Token' 'Creature']
7206,['Enchantment']
7208,['Creature']
7209,['Land']
7210,['Enchantment']
7211,['Sorcery']
7212,['Land']
7214,['Planeswalker']
7216,['Creature']
7217,['Creature']
7218,['Creature']
7219,['Instant']
7220,['Creature']
7221,['Creature']
7222,['Instant']
7224,['Creature']
7226,['Artifact']
7227,['Artifact']
7228,['Creature']
7229,['Creature']
7231,['Planeswalker']
7232,['Creature']
7235,['Land']
7238,['Creature']
7240,['Enchantment']
7243,['Card']
7244,['Creature']
7245,['Creature']
7247,['Enchantment']
7248,['Enchantment']
7249,['Vanguard']
7250,['Instant']
7251,['Instant']
7252,['Sorcery']
7256,['Tribal' 'Sorcery']
7257,['Creature']
7259,['Instant']
7260,['Creature']
7261,['Land']
7263,['Instant']
7264,['Artifact']
7266,['Creature']
7267,['Creature']
7268,['Instant']
7269,['Instant']
7270,['Sorcery']
7271,['Sorcery']
7272,['Land']
7273,['Creature']
7276,['Creature']
7277,['Creature']
7278,['Land']
7283,['Land']
7285,['Artifact']
7286,['Land']
7287,['Artifact']
7288,['Instant']
7289,['Creature']
7290,['Card']
7291,['Card']
7292,['Creature']
7293,['Instant']
7294,['Sorcery']
7295,['Creature']
7296,['Creature']
7297,['Creature']
7298,['Enchantment']
7300,['Sorcery']
7303,['Creature']
7305,['Enchantment']
7306,['Creature']
7308,['Creature']
7310,['Creature']
7312,['Creature']
7314,['Creature']
7315,['Creature']
7318,['Scheme']
7319,['Planeswalker']
7321,['Instant']
7322,['Sorcery']
7323,['Creature']
7324,['Artifact' 'Creature']
7325,['Creature']
7328,['Instant']
7329,['Artifact' 'Creature']
7330,['Creature']
7332,['Creature']
7336,['Creature']
7337,['Creature']
7338,['Creature']
7340,['Creature']
7341,['Planeswalker']
7342,['Sorcery']
7344,['Creature']
7345,['Artifact']
7347,['Enchantment']
7348,['Enchantment']
7350,['Sorcery']
7352,['Creature']
7353,['Sorcery']
7354,['Instant']
7355,['Creature']
7356,['Token' 'Artifact']
7358,['Planeswalker']
7359,['Creature']
7360,['Summon']
7361,['Creature']
7362,['Creature']
7363,['Creature']
7364,['Creature']
7365,['Land']
7367,['Creature']
7368,['Creature']
7369,['Artifact' 'Creature']
7370,['Land']
7371,['Instant']
7372,['Creature']
7373,['Instant']
7374,['Creature']
7375,['Creature']
7376,['Enchantment']
7377,['Land']
7378,['Artifact']
7379,['Instant']
7381,['Creature']
7382,['Creature']
7383,['Artifact']
7384,['Enchantment']
7386,['Artifact']
7387,['Card']
7388,['Enchantment']
7390,['Enchantment']
7393,['Creature']
7394,['Artifact']
7397,['Creature']
7398,['Creature']
7401,['Creature']
7402,['Sorcery']
7404,['Creature']
7406,['Creature']
7407,['Artifact']
7408,['Creature']
7410,['Card']
7411,['Card']
7413,['Creature']
7414,['Creature']
7415,['Card']
7416,['Creature']
7417,['Instant']
7418,['Sorcery']
7419,['Creature']
7421,['Creature']
7422,['Creature']
7423,['Creature']
7424,['Creature']
7430,['Card']
7431,['Sorcery']
7432,['Creature']
7433,['Sorcery']
7436,['Creature']
7437,['Creature']
7438,['Artifact' 'Creature']
7439,['Land']
7442,['Creature']
7443,['Creature']
7446,['Sorcery']
7447,['Creature']
7449,['Land']
7451,['Creature']
7452,['Creature']
7455,['Instant']
7459,['Sorcery']
7462,['Creature']
7463,['Sorcery']
7464,['Artifact' 'Creature']
7465,['Land']
7466,['Artifact']
7468,['Creature']
7469,['Creature']
7471,['Enchantment']
7472,['Instant']
7476,['Creature']
7477,['Instant']
7478,['Artifact']
7480,['Land']
7481,['Sorcery']
7482,['Creature']
7483,['Creature']
7485,['Sorcery']
7486,['Enchantment' 'Creature']
7487,['Artifact' 'Creature']
7488,['Creature']
7489,['Creature']
7492,['Enchantment']
7494,['Card']
7495,['Creature']
7497,['Creature']
7498,['Creature']
7499,['Creature']
7500,['Token' 'Creature']
7501,['Creature']
7504,['Creature']
7505,['Enchantment']
7506,['Instant']
7507,['Creature']
7508,['Creature']
7509,['Creature']
7511,['Sorcery']
7515,['Sorcery']
7516,['Enchantment']
7517,['Instant']
7518,['Instant']
7522,['Instant']
7528,['Creature']
7529,['Land']
7530,['Creature']
7531,['Enchantment']
7533,['Artifact' 'Creature']
7534,['Enchantment']
7535,['Creature']
7537,['Creature']
7539,['Creature']
7541,['Creature']
7543,['Instant']
7544,['Creature']
7545,['Artifact' 'Creature']
7547,['Artifact' 'Creature']
7548,['Land']
7549,['Sorcery']
7550,['Enchantment' 'Creature']
7551,['Artifact']
7552,['Creature']
7553,['Creature']
7557,['Creature']
7559,['Sorcery']
7560,['Artifact']
7562,['Creature']
7563,['Creature']
7564,['Instant']
7567,['Creature']
7569,['Card']
7570,['Sorcery']
7571,['Creature']
7572,['Sorcery']
7573,['Planeswalker']
7574,['Enchantment']
7575,['Instant']
7576,['Sorcery']
7577,['Land']
7578,['Creature']
7579,['Token' 'Creature']
7581,['Creature']
7582,['Creature']
7583,['Creature']
7584,['Creature']
7585,['Creature']
7586,['Creature']
7588,['Creature']
7589,['Enchantment']
7591,['Creature']
7592,['Enchantment']
7595,['Instant']
7596,['Sorcery']
7597,['Creature']
7600,['Creature']
7602,['Creature']
7603,['Artifact' 'Creature']
7605,['Enchantment' 'Creature']
7606,['Creature']
7607,['Sorcery']
7608,['Artifact' 'Creature']
7609,['Artifact']
7610,['Creature']
7613,['Artifact']
7614,['Creature']
7615,['Creature']
7616,['Artifact']
7617,['Creature']
7619,['Sorcery']
7621,['Creature']
7622,['Creature']
7624,['Creature']
7625,['Artifact' 'Creature']
7626,['Creature']
7627,['Creature']
7628,['Creature']
7632,['Creature']
7634,['Sorcery']
7635,['Sorcery']
7636,['Creature']
7640,['Creature']
7642,['Creature']
7643,['Creature']
7644,['Token' 'Creature']
7645,['Sorcery']
7646,['Creature']
7649,['Artifact']
7650,['Creature']
7651,['Instant']
7652,['Sorcery']
7653,['Enchantment']
7654,['Creature']
7656,['Instant']
7657,['Creature']
7659,['Instant']
7660,['Creature']
7663,['Creature']
7664,['Enchantment']
7665,['Creature']
7666,['Artifact' 'Creature']
7667,['Creature']
7668,['Creature']
7669,['Creature']
7670,['Enchantment']
7673,['Creature']
7676,['Instant']
7678,['Creature']
7679,['Creature']
7681,['Instant']
7682,['Creature']
7684,['Enchantment']
7685,['Creature']
7686,['Creature']
7687,['Creature']
7688,['Instant']
7689,['Instant']
7690,['Creature']
7691,['Instant']
7692,['Enchantment']
7693,['Enchantment']
7696,['Sorcery']
7697,['Artifact']
7699,['Card']
7700,['Instant']
7701,['Creature']
7702,['Creature']
7703,['Artifact']
7709,['Creature']
7710,['Token' 'Creature']
7712,['Instant']
7713,['Creature']
7714,['Card']
7716,['Artifact']
7718,['Creature']
7720,['Creature']
7721,['Enchantment']
7723,['Creature']
7724,['Creature']
7725,['Land']
7726,['Card']
7728,['Creature']
7729,['Instant']
7730,['Creature']
7732,['Enchantment']
7733,['Sorcery']
7735,['Creature']
7736,['Creature']
7738,['Instant']
7740,['Card']
7741,['Creature']
7743,['Enchantment']
7751,['Creature']
7753,['Creature']
7754,['Creature']
7755,['Enchantment']
7757,['Creature']
7758,['Card']
7759,['Instant']
7761,['Creature']
7762,['Sorcery']
7765,['Planeswalker']
7766,['Creature']
7767,['Creature']
7769,['Card']
7770,['Sorcery']
7772,['Creature']
7774,['Enchantment']
7776,['Enchantment']
7779,['Instant']
7781,['Sorcery']
7783,['Creature']
7784,['Creature']
7785,['Instant']
7787,['Creature']
7789,['Enchantment']
7790,['Planeswalker']
7791,['Artifact']
7794,['Creature']
7796,['Card']
7799,['Creature']
7803,['Creature']
7805,['Artifact']
7807,['Creature']
7809,['Creature']
7810,['Planeswalker']
7811,['Creature']
7817,['Creature']
7818,['Land']
7820,['Artifact']
7821,['Artifact']
7826,['Land']
7828,['Planeswalker']
7829,['Creature']
7831,['Enchantment']
7832,['Enchantment']
7833,['Enchantment']
7836,['Planeswalker']
7837,['Creature']
7838,['Stickers']
7839,['Enchantment']
7840,['Sorcery']
7841,['Creature']
7842,['Enchantment' 'Creature']
7847,['Creature']
7849,['Instant']
7850,['Sorcery']
7853,['Creature']
7854,['Sorcery']
7855,['Creature']
7857,['Creature']
7861,['Enchantment']
7863,['Conspiracy']
7864,['Enchantment']
7866,['Creature']
7867,['Sorcery']
7868,['Enchantment']
7869,['Creature']
7871,['Creature']
7875,['Artifact']
7876,['Card']
7877,['Creature']
7880,['Instant']
7881,['Creature']
7883,['Planeswalker']
7884,['Creature']
7886,['Creature']
7889,['Creature']
7890,['Creature']
7891,['Creature']
7892,['Sorcery']
7894,['Creature']
7896,['Instant']
7897,['Creature']
7899,['Creature']
7900,['Creature']
7903,['Enchantment']
7904,['Sorcery']
7906,['Creature']
7907,['Enchantment']
7908,['Sorcery']
7910,['Enchantment']
7911,['Creature']
7912,['Enchantment']
7914,['Creature']
7915,['Creature']
7916,['Card']
7918,['Instant']
7919,['Instant']
7921,['Creature']
7922,['Creature']
7923,['Creature']
7925,['Enchantment']
7927,['Sorcery']
7928,['Instant']
7933,['Creature']
7934,['Enchantment']
7935,['Sorcery']
7936,['Planeswalker']
7937,['Creature']
7938,['Enchantment']
7939,['Sorcery']
7940,['Artifact']
7941,['Creature']
7944,['Land']
7945,['Creature']
7946,['Artifact']
7950,['Creature']
7951,['Instant']
7952,['Sorcery']
7955,['Creature']
7956,['Artifact']
7957,['Creature']
7960,['Enchantment']
7965,['Creature']
7967,['Instant']
7974,['Instant']
7975,['Creature']
7976,['Enchantment']
7977,['Sorcery']
7978,['Planeswalker']
7979,['Sorcery']
7980,['Planeswalker']
7981,['Sorcery']
7983,['Creature']
7985,['Sorcery']
7986,['Creature']
7987,['Sorcery']
7989,['Creature']
7991,['Creature']
7992,['Creature']
7993,['Instant']
7994,['Enchantment']
7996,['Artifact' 'Creature']
7997,['Sorcery']
7998,['Artifact']
7999,['Creature']
8000,['Land']
8001,['Enchantment']
8004,['Creature']
8005,['Creature']
8007,['Creature']
8010,['Sorcery']
8013,['Instant']
8015,['Card']
8016,['Enchantment']
8018,['Land']
8020,['Instant']
8021,['Sorcery']
8022,['Token' 'Creature']
8024,['Card']
8025,['Card']
8026,['Creature']
8027,['Land']
8028,['Creature']
8029,['Creature']
8030,['Instant']
8033,['Creature']
8034,['Artifact' 'Creature']
8035,['Artifact']
8037,['Creature']
8040,['Creature']
8042,['Enchantment']
8043,['Creature']
8046,['Enchantment']
8047,['Creature']
8049,['Creature']
8051,['Creature']
8052,['Artifact']
8055,['Instant']
8058,['Instant']
8059,['Instant']
8060,['Sorcery']
8061,['Creature']
8066,['Instant']
8067,['Instant']
8068,['Sorcery']
8071,['Enchantment']
8072,['Enchantment']
8074,['Creature']
8075,['Creature']
8076,['Creature']
8077,['Creature']
8078,['Sorcery']
8080,['Creature']
8081,['Sorcery']
8082,['Creature']
8084,['Enchantment']
8085,['Creature']
8087,['Creature']
8089,['Creature']
8094,['Sorcery']
8095,['Sorcery']
8096,['Creature']
8097,['Enchantment']
8098,['Card']
8099,['Creature']
8100,['Creature']
8102,['Creature']
8103,['Creature']
8104,['Land']
8105,['Creature']
8107,['Creature']
8109,['Creature']
8110,['Creature']
8111,['Sorcery']
8112,['Creature']
8113,['Enchantment']
8118,['Enchantment']
8120,['Creature']
8122,['Creature']
8124,['Artifact']
8125,['Creature']
8126,['Enchantment' 'Creature']
8128,['Artifact' 'Land']
8129,['Artifact' 'Creature']
8131,['Creature']
8133,['Creature']
8134,['Artifact' 'Creature']
8135,['Creature']
8136,['Creature']
8137,['Creature']
8138,['Instant']
8139,['Instant']
8140,['Vanguard']
8142,['Token' 'Creature']
8143,['Land']
8145,['Creature']
8146,['Creature']
8150,['Creature']
8151,['Instant']
8153,['Sorcery']
8154,['Enchantment']
8156,['Creature']
8157,['Instant']
8158,['Creature']
8159,['Card']
8160,['Token' 'Creature']
8163,['Creature']
8165,['Creature']
8168,['Land']
8169,['Sorcery']
8170,['Creature']
8172,['Creature']
8173,['Creature']
8176,['Creature']
8177,['Instant']
8178,['Artifact']
8182,['Creature']
8183,['Sorcery']
8187,['Creature']
8188,['Card']
8190,['Artifact' 'Creature']
8191,['Creature']
8194,['Creature']
8198,['Creature']
8199,['Planeswalker']
8201,['Instant']
8202,['Creature']
8203,['Enchantment' 'Creature']
8204,['Enchantment']
8206,['Creature']
8208,['Creature']
8210,['Sorcery']
8211,['Instant']
8213,['Sorcery']
8214,['Instant']
8215,['Artifact']
8216,['Creature']
8217,['Sorcery']
8220,['Creature']
8222,['Instant']
8225,['Enchantment']
8228,['Creature']
8229,['Enchantment']
8234,['Enchantment']
8237,['Sorcery']
8238,['Artifact']
8239,['Enchantment']
8241,['Instant']
8242,['Artifact']
8244,['Creature']
8245,['Sorcery']
8248,['Creature']
8250,['Land']
8252,['Land']
8253,['Creature']
8254,['Creature']
8256,['Land']
8258,['Creature']
8261,['Instant']
8263,['Land']
8264,['Sorcery']
8267,['Enchantment']
8268,['Creature']
8269,['Creature']
8270,['Sorcery']
8271,['Token' 'Creature']
8272,['Artifact']
8273,['Enchantment']
8274,['Land']
8275,['Instant']
8276,['Creature']
8277,['Artifact']
8278,['Instant']
8281,['Artifact']
8282,['Sorcery']
8283,['Sorcery']
8285,['Creature']
8286,['Artifact']
8287,['Instant']
8288,['Instant']
8289,['Creature']
8290,['Creature']
8291,['Enchantment']
8293,['Sorcery']
8295,['Creature']
8296,['Creature']
8297,['Enchantment']
8300,['Creature']
8302,['Sorcery']
8305,['Instant']
8307,['Creature']
8308,['Creature']
8309,['Enchantment']
8311,['Artifact']
8313,['Enchantment']
8314,['Planeswalker']
8316,['Enchantment']
8318,['Creature']
8319,['Instant']
8321,['Instant']
8323,['Planeswalker']
8324,['Creature']
8325,['Creature']
8328,['Creature']
8329,['Creature']
8332,['Card']
8333,['Planeswalker']
8334,['Sorcery']
8335,['Creature']
8336,['Token' 'Creature']
8338,['Sorcery']
8339,['Enchantment']
8340,['Artifact']
8341,['Land']
8342,['Enchantment']
8344,['Creature']
8346,['Artifact' 'Creature']
8347,['Card']
8349,['Creature']
8350,['Creature']
8354,['Creature']
8355,['Vanguard']
8356,['Scheme']
8359,['Enchantment']
8360,['Instant']
8361,['Enchantment']
8362,['Creature']
8365,['Artifact' 'Creature']
8366,['Instant']
8369,['Sorcery']
8370,['Creature']
8372,['Creature']
8373,['Land']
8374,['Instant']
8376,['Instant']
8377,['Sorcery']
8379,['Sorcery']
8380,['Sorcery']
8381,['Sorcery']
8382,['Creature']
8386,['Creature']
8388,['Enchantment']
8389,['Artifact']
8394,['Creature']
8395,['Creature']
8397,['Creature']
8398,['Creature']
8399,['Creature']
8400,['Artifact']
8401,['Creature']
8402,['Artifact']
8403,['Creature']
8405,['Creature']
8406,['Creature']
8408,['Artifact']
8410,['Sorcery']
8411,['Creature']
8413,['Instant']
8414,['Creature']
8417,['Creature']
8418,['Instant']
8419,['Enchantment']
8420,['Creature']
8421,['Land']
8422,['Sorcery']
8423,['Artifact']
8425,['Artifact']
8426,['Land']
8428,['Creature']
8429,['Enchantment']
8430,['Creature']
8431,['Land']
8432,['Sorcery']
8436,['Creature']
